fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,idema,nombre_estacion
2023-03-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",27.0,"3,1","11,1",17:30,3194U,Ciudad Universitaria
2023-03-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"0,3","5,6",07:40,3194U,Ciudad Universitaria
2023-03-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"0,8","4,7",16:20,3194U,Ciudad Universitaria
2023-03-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",25.0,"1,4","8,6",15:30,3194U,Ciudad Universitaria
2023-03-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"2,2","13,6",15:40,3194U,Ciudad Universitaria
2023-03-31,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"3,6","9,7",14:40,3194U,Ciudad Universitaria
2023-04-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",27.0,"3,6","15,3",03:00,3194U,Ciudad Universitaria
2023-04-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"1,7","8,3",15:30,3194U,Ciudad Universitaria
2023-04-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99.0,"0,8","6,4",Varias,3194U,Ciudad Universitaria
2023-04-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",8.0,"4,4","11,7",17:20,3194U,Ciudad Universitaria
2023-04-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"0,8","7,8",23:40,3194U,Ciudad Universitaria
2023-04-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"1,1","8,1",22:50,3194U,Ciudad Universitaria
2023-04-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"1,4","7,2",15:10,3194U,Ciudad Universitaria
2023-04-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"0,8","7,2",13:50,3194U,Ciudad Universitaria
2023-04-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,4","8,3",15:20,3194U,Ciudad Universitaria
2023-04-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",26.0,"1,7","8,9",15:20,3194U,Ciudad Universitaria
2023-04-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,9","8,3",15:50,3194U,Ciudad Universitaria
2023-04-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",29.0,"3,1","13,1",17:30,3194U,Ciudad Universitaria
2023-04-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",27.0,"3,6","12,2",12:00,3194U,Ciudad Universitaria
2023-04-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"3,1","14,7",14:20,3194U,Ciudad Universitaria
2023-04-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"1,4","10,3",23:59,3194U,Ciudad Universitaria
2023-04-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",2.0,"2,5","12,5",00:40,3194U,Ciudad Universitaria
2023-04-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"2,8","9,2",23:00,3194U,Ciudad Universitaria
2023-04-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"1,4","11,4",04:20,3194U,Ciudad Universitaria
2023-04-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",13.0,"1,1","5,8",00:20,3194U,Ciudad Universitaria
2023-04-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"1,7","9,4",17:20,3194U,Ciudad Universitaria
2023-04-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"6,3",25.0,"2,5","12,2",13:10,3194U,Ciudad Universitaria
2023-04-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,1",23.0,"1,9","8,9",00:10,3194U,Ciudad Universitaria
2023-04-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"2,5","10,0",14:20,3194U,Ciudad Universitaria
2023-04-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,4","7,8",15:40,3194U,Ciudad Universitaria
2023-04-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"2,2","7,8",13:30,3194U,Ciudad Universitaria
2023-04-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99.0,"1,7","9,2",Varias,3194U,Ciudad Universitaria
2023-04-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"1,1","9,7",14:40,3194U,Ciudad Universitaria
2023-04-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"2,8","8,9",13:10,3194U,Ciudad Universitaria
2023-04-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,5",26.0,"2,2","8,9",16:40,3194U,Ciudad Universitaria
2023-04-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"1,1","10,0",21:20,3194U,Ciudad Universitaria
2023-05-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"0,6","10,0",00:30,3194U,Ciudad Universitaria
2023-05-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",5.0,"0,6","5,6",02:20,3194U,Ciudad Universitaria
2023-05-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",21.0,"1,4","9,4",17:10,3194U,Ciudad Universitaria
2023-05-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",21.0,"3,1","10,6",12:00,3194U,Ciudad Universitaria
2023-05-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",31.0,"1,9","8,9",16:40,3194U,Ciudad Universitaria
2023-05-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"2,8","10,0",15:10,3194U,Ciudad Universitaria
2023-05-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",30.0,"1,9","9,2",18:10,3194U,Ciudad Universitaria
2023-05-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,1","8,9",16:00,3194U,Ciudad Universitaria
2023-05-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",29.0,"3,1","11,7",12:10,3194U,Ciudad Universitaria
2023-05-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"1,9","11,9",23:00,3194U,Ciudad Universitaria
2023-05-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",8.0,"3,3","10,0",00:20,3194U,Ciudad Universitaria
2023-05-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"3,1","11,7",15:50,3194U,Ciudad Universitaria
2023-05-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",5.0,"2,5","9,2",08:20,3194U,Ciudad Universitaria
2023-05-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,6",1.0,"1,4","9,4",15:30,3194U,Ciudad Universitaria
2023-05-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99.0,"2,5","10,0",Varias,3194U,Ciudad Universitaria
2023-05-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",9.0,"1,7","13,3",22:30,3194U,Ciudad Universitaria
2023-05-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",5.0,"4,7","15,0",23:20,3194U,Ciudad Universitaria
2023-05-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"3,6","12,5",21:30,3194U,Ciudad Universitaria
2023-05-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"3,1","11,4",00:40,3194U,Ciudad Universitaria
2023-05-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"1,9","12,5",21:40,3194U,Ciudad Universitaria
2023-05-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,2",5.0,"1,9","11,9",00:10,3194U,Ciudad Universitaria
2023-05-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,3",4.0,"1,7","8,3",14:30,3194U,Ciudad Universitaria
2023-05-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,,5.0,"3,6","11,7",12:40,3194U,Ciudad Universitaria
2023-05-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",10.0,"2,5","10,8",16:10,3194U,Ciudad Universitaria
2023-05-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"18,2",24.0,"1,4","14,4",13:20,3194U,Ciudad Universitaria
2023-05-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"4,7",12.0,"1,9","8,3",09:50,3194U,Ciudad Universitaria
2023-05-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"7,2",99.0,"1,7","8,6",21:50,3194U,Ciudad Universitaria
2023-05-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"11,3",19.0,"1,1","6,1",17:20,3194U,Ciudad Universitaria
2023-05-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"21,0",10.0,"0,6","9,2",16:20,3194U,Ciudad Universitaria
2023-05-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,1",7.0,"1,4","10,0",16:20,3194U,Ciudad Universitaria
2023-05-31,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"1,1","7,8",23:59,3194U,Ciudad Universitaria
2023-06-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"10,5",27.0,"1,1","10,8",14:30,3194U,Ciudad Universitaria
